step,reward
36,36.0
67,31.0
84,17.0
109,25.0
141,32.0
168,27.0
192,24.0
223,31.0
234,11.0
245,11.0
267,22.0
276,9.0
296,20.0
311,15.0
329,18.0
348,19.0
381,33.0
392,11.0
418,26.0
429,11.0
453,24.0
482,29.0
496,14.0
512,16.0
533,21.0
554,21.0
564,10.0
576,12.0
588,12.0
600,12.0
616,16.0
645,29.0
665,20.0
688,23.0
699,11.0
708,9.0
723,15.0
737,14.0
749,12.0
764,15.0
781,17.0
792,11.0
808,16.0
821,13.0
834,13.0
851,17.0
863,12.0
882,19.0
909,27.0
934,25.0
952,18.0
978,26.0
987,9.0
1026,39.0
1060,34.0
1085,25.0
1104,19.0
1154,50.0
1182,28.0
1228,46.0
1275,47.0
1307,32.0
1337,30.0
1362,25.0
1399,37.0
1417,18.0
1459,42.0
1489,30.0
1530,41.0
1549,19.0
1607,58.0
1651,44.0
1678,27.0
1711,33.0
1739,28.0
1780,41.0
1812,32.0
1865,53.0
2004,139.0
2059,55.0
2127,68.0
2154,27.0
2191,37.0
2238,47.0
2294,56.0
2343,49.0
2396,53.0
2453,57.0
2535,82.0
2606,71.0
2658,52.0
2784,126.0
2967,183.0
3035,68.0
3098,63.0
3182,84.0
3268,86.0
3369,101.0
3470,101.0
3580,110.0
3676,96.0
3771,95.0
3835,64.0
3916,81.0
3990,74.0
4066,76.0
4170,104.0
4231,61.0
4405,174.0
4533,128.0
4612,79.0
4676,64.0
4766,90.0
4868,102.0
4988,120.0
5110,122.0
5232,122.0
5283,51.0
5369,86.0
5439,70.0
5556,117.0
5634,78.0
5694,60.0
5783,89.0
5864,81.0
5966,102.0
6059,93.0
6128,69.0
6221,93.0
6387,166.0
6452,65.0
6547,95.0
6674,127.0
6732,58.0
6795,63.0
6961,166.0
7047,86.0
7365,318.0
7574,209.0
7776,202.0
7894,118.0
7956,62.0
8022,66.0
8081,59.0
8173,92.0
8293,120.0
8339,46.0
8402,63.0
8459,57.0
8539,80.0
8599,60.0
8662,63.0
8723,61.0
8792,69.0
8837,45.0
8908,71.0
8988,80.0
9085,97.0
9164,79.0
9280,116.0
9404,124.0
9688,284.0
10003,315.0
10277,274.0
10436,159.0
10632,196.0
10845,213.0
11116,271.0
11350,234.0
11626,276.0
12126,500.0
12626,500.0
12638,12.0
12648,10.0
12658,10.0
12668,10.0
12678,10.0
12688,10.0
12798,110.0
12979,181.0
13142,163.0
13427,285.0
13827,400.0
14327,500.0
14674,347.0
15016,342.0
15399,383.0
15624,225.0
15873,249.0
16128,255.0
16302,174.0
16537,235.0
16731,194.0
16993,262.0
17380,387.0
17728,348.0
17978,250.0
18191,213.0
18398,207.0
18627,229.0
18877,250.0
19138,261.0
19360,222.0
19615,255.0
19887,272.0
20124,237.0
20471,347.0
20753,282.0
21032,279.0
21307,275.0
21554,247.0
21894,340.0
22183,289.0
22445,262.0
22695,250.0
23002,307.0
23352,350.0
23683,331.0
23987,304.0
24299,312.0
24607,308.0
24971,364.0
25346,375.0
25563,217.0
25913,350.0
26206,293.0
26641,435.0
26893,252.0
27303,410.0
27571,268.0
27989,418.0
28086,97.0
28296,210.0
28442,146.0
28575,133.0
28770,195.0
29270,500.0
29527,257.0
29814,287.0
30145,331.0
30454,309.0
30684,230.0
30974,290.0
31292,318.0
31641,349.0
31869,228.0
31878,9.0
31889,11.0
31899,10.0
31909,10.0
31920,11.0
31959,39.0
31990,31.0
32006,16.0
32025,19.0
32062,37.0
32200,138.0
32458,258.0
32830,372.0
33086,256.0
33482,396.0
33867,385.0
34148,281.0
34476,328.0
34733,257.0
35002,269.0
35326,324.0
35568,242.0
35882,314.0
36252,370.0
36507,255.0
36749,242.0
37023,274.0
37523,500.0
37896,373.0
38251,355.0
38681,430.0
38950,269.0
39315,365.0
39561,246.0
39947,386.0
40264,317.0
40634,370.0
41007,373.0
41287,280.0
41568,281.0
41888,320.0
42207,319.0
42606,399.0
42859,253.0
43122,263.0
43452,330.0
43766,314.0
44239,473.0
44649,410.0
44944,295.0
45339,395.0
45652,313.0
45941,289.0
46379,438.0
46807,428.0
47167,360.0
47553,386.0
48053,500.0
48172,119.0
48200,28.0
48215,15.0
48466,251.0
48903,437.0
49403,500.0
49859,456.0
50303,444.0
50803,500.0
51303,500.0
51803,500.0
52303,500.0
52803,500.0
53303,500.0
53623,320.0
54123,500.0
54623,500.0
55059,436.0
55069,10.0
55077,8.0
55086,9.0
55097,11.0
55110,13.0
55120,10.0
55130,10.0
55138,8.0
55148,10.0
55157,9.0
55167,10.0
55176,9.0
55185,9.0
55193,8.0
55202,9.0
55211,9.0
55221,10.0
55231,10.0
55241,10.0
55250,9.0
55260,10.0
55269,9.0
55278,9.0
55289,11.0
55299,10.0
55308,9.0
55316,8.0
55327,11.0
55337,10.0
55346,9.0
55356,10.0
55366,10.0
55375,9.0
55384,9.0
55394,10.0
55404,10.0
55414,10.0
55427,13.0
55437,10.0
55446,9.0
55458,12.0
55468,10.0
55476,8.0
55485,9.0
55496,11.0
55506,10.0
55515,9.0
55524,9.0
55534,10.0
55543,9.0
55553,10.0
55562,9.0
55572,10.0
55581,9.0
55593,12.0
55603,10.0
55613,10.0
55624,11.0
55636,12.0
55647,11.0
55658,11.0
55668,10.0
55678,10.0
55693,15.0
55763,70.0
55837,74.0
55861,24.0
55884,23.0
55909,25.0
55923,14.0
55934,11.0
55950,16.0
55969,19.0
55988,19.0
56000,12.0
56012,12.0
56025,13.0
56041,16.0
56058,17.0
56084,26.0
56103,19.0
56119,16.0
56144,25.0
56162,18.0
56177,15.0
56197,20.0
56239,42.0
56285,46.0
56331,46.0
56384,53.0
56459,75.0
56580,121.0
56672,92.0
56998,326.0
57088,90.0
57210,122.0
57488,278.0
57611,123.0
57760,149.0
58023,263.0
58221,198.0
58353,132.0
58557,204.0
58775,218.0
58961,186.0
59333,372.0
59621,288.0
60118,497.0
60618,500.0
61118,500.0
61618,500.0
62118,500.0
62618,500.0
63118,500.0
63618,500.0
64118,500.0
64618,500.0
65118,500.0
65618,500.0
65887,269.0
66118,231.0
66383,265.0
66540,157.0
66891,351.0
67307,416.0
67565,258.0
68065,500.0
68565,500.0
69016,451.0
69491,475.0
69696,205.0
69932,236.0
70142,210.0
70414,272.0
70636,222.0
70867,231.0
71178,311.0
71516,338.0
71891,375.0
72192,301.0
72692,500.0
73033,341.0
73344,311.0
73593,249.0
73933,340.0
74249,316.0
74608,359.0
74984,376.0
75394,410.0
75844,450.0
76240,396.0
76570,330.0
76914,344.0
76931,17.0
77083,152.0
77237,154.0
77247,10.0
77256,9.0
77265,9.0
77275,10.0
77288,13.0
77297,9.0
77307,10.0
77316,9.0
77325,9.0
77335,10.0
77344,9.0
77354,10.0
77363,9.0
77373,10.0
77408,35.0
77480,72.0
77491,11.0
77522,31.0
77550,28.0
77586,36.0
77734,148.0
77836,102.0
77983,147.0
78152,169.0
78233,81.0
78386,153.0
78555,169.0
78966,411.0
79466,500.0
79885,419.0
80239,354.0
80574,335.0
80937,363.0
81353,416.0
81720,367.0
82220,500.0
82671,451.0
83044,373.0
83544,500.0
84044,500.0
84544,500.0
85044,500.0
85544,500.0
86044,500.0
86544,500.0
87044,500.0
87544,500.0
88044,500.0
88544,500.0
89044,500.0
89544,500.0
90044,500.0
90173,129.0
90567,394.0
90881,314.0
90890,9.0
90905,15.0
91008,103.0
91040,32.0
91059,19.0
91269,210.0
91599,330.0
92099,500.0
92384,285.0
92823,439.0
93279,456.0
93779,500.0
94179,400.0
94348,169.0
94848,500.0
95348,500.0
95801,453.0
96086,285.0
96096,10.0
96105,9.0
96163,58.0
96180,17.0
96411,231.0
96911,500.0
97411,500.0
97911,500.0
98411,500.0
98911,500.0
99411,500.0
99911,500.0
100411,500.0
100911,500.0
101411,500.0
101911,500.0
102411,500.0
102911,500.0
103411,500.0
103911,500.0
104411,500.0
104911,500.0
105411,500.0
105911,500.0
106329,418.0
106757,428.0
