step,reward
52,52.0
86,34.0
119,33.0
142,23.0
195,53.0
231,36.0
243,12.0
253,10.0
265,12.0
274,9.0
285,11.0
311,26.0
352,41.0
389,37.0
425,36.0
437,12.0
458,21.0
481,23.0
495,14.0
536,41.0
571,35.0
585,14.0
616,31.0
633,17.0
645,12.0
664,19.0
676,12.0
689,13.0
709,20.0
721,12.0
733,12.0
749,16.0
759,10.0
768,9.0
787,19.0
801,14.0
813,12.0
829,16.0
850,21.0
874,24.0
886,12.0
903,17.0
922,19.0
932,10.0
954,22.0
1023,69.0
1045,22.0
1073,28.0
1090,17.0
1100,10.0
1138,38.0
1163,25.0
1210,47.0
1244,34.0
1269,25.0
1294,25.0
1305,11.0
1330,25.0
1380,50.0
1397,17.0
1418,21.0
1438,20.0
1450,12.0
1471,21.0
1489,18.0
1517,28.0
1556,39.0
1570,14.0
1592,22.0
1621,29.0
1656,35.0
1691,35.0
1700,9.0
1723,23.0
1744,21.0
1758,14.0
1771,13.0
1786,15.0
1797,11.0
1818,21.0
1829,11.0
1841,12.0
1852,11.0
1881,29.0
1892,11.0
1909,17.0
1922,13.0
1933,11.0
1946,13.0
1962,16.0
1976,14.0
2006,30.0
2015,9.0
2051,36.0
2059,8.0
2069,10.0
2082,13.0
2101,19.0
2117,16.0
2127,10.0
2150,23.0
2165,15.0
2209,44.0
2222,13.0
2240,18.0
2282,42.0
2314,32.0
2326,12.0
2363,37.0
2379,16.0
2389,10.0
2402,13.0
2414,12.0
2428,14.0
2439,11.0
2471,32.0
2483,12.0
2495,12.0
2514,19.0
2523,9.0
2555,32.0
2574,19.0
2585,11.0
2645,60.0
2676,31.0
2687,11.0
2697,10.0
2714,17.0
2724,10.0
2760,36.0
2779,19.0
2794,15.0
2857,63.0
2872,15.0
2889,17.0
2938,49.0
2952,14.0
2969,17.0
3007,38.0
3137,130.0
3199,62.0
3210,11.0
3259,49.0
3295,36.0
3305,10.0
3344,39.0
3353,9.0
3364,11.0
3376,12.0
3389,13.0
3403,14.0
3417,14.0
3463,46.0
3476,13.0
3487,11.0
3500,13.0
3511,11.0
3532,21.0
3548,16.0
3557,9.0
3566,9.0
3576,10.0
3586,10.0
3600,14.0
3612,12.0
3627,15.0
3647,20.0
3657,10.0
3669,12.0
3678,9.0
3687,9.0
3700,13.0
3710,10.0
3721,11.0
3731,10.0
3761,30.0
3774,13.0
3786,12.0
3794,8.0
3804,10.0
3815,11.0
3830,15.0
3840,10.0
3849,9.0
3859,10.0
3889,30.0
3900,11.0
3909,9.0
3921,12.0
3931,10.0
3942,11.0
3975,33.0
4001,26.0
4011,10.0
4020,9.0
4080,60.0
4099,19.0
4150,51.0
4160,10.0
4175,15.0
4191,16.0
4200,9.0
4211,11.0
4221,10.0
4251,30.0
4260,9.0
4270,10.0
4282,12.0
4294,12.0
4320,26.0
4341,21.0
4354,13.0
4428,74.0
4438,10.0
4451,13.0
4463,12.0
4475,12.0
4485,10.0
4505,20.0
4528,23.0
4540,12.0
4566,26.0
4578,12.0
4621,43.0
4633,12.0
4645,12.0
4656,11.0
4670,14.0
4683,13.0
4702,19.0
4740,38.0
4757,17.0
4775,18.0
4784,9.0
4795,11.0
4806,11.0
4818,12.0
4830,12.0
4847,17.0
4860,13.0
4895,35.0
4928,33.0
4958,30.0
4976,18.0
5001,25.0
5012,11.0
5023,11.0
5067,44.0
5086,19.0
5101,15.0
5111,10.0
5120,9.0
5131,11.0
5146,15.0
5221,75.0
5234,13.0
5254,20.0
5273,19.0
5282,9.0
5292,10.0
5306,14.0
5323,17.0
5334,11.0
5349,15.0
5361,12.0
5372,11.0
5384,12.0
5430,46.0
5460,30.0
5514,54.0
5528,14.0
5542,14.0
5581,39.0
5591,10.0
5609,18.0
5635,26.0
5647,12.0
5662,15.0
5691,29.0
5710,19.0
5745,35.0
5797,52.0
5815,18.0
5836,21.0
5863,27.0
5891,28.0
6015,124.0
6026,11.0
6038,12.0
6056,18.0
6135,79.0
6150,15.0
6162,12.0
6180,18.0
6204,24.0
6218,14.0
6232,14.0
6242,10.0
6263,21.0
6280,17.0
6292,12.0
6308,16.0
6351,43.0
6363,12.0
6373,10.0
6384,11.0
6491,107.0
6508,17.0
6525,17.0
6545,20.0
6563,18.0
6623,60.0
6638,15.0
6681,43.0
6690,9.0
6700,10.0
6710,10.0
6732,22.0
6755,23.0
6768,13.0
6788,20.0
6803,15.0
6818,15.0
6830,12.0
6847,17.0
6936,89.0
6947,11.0
6968,21.0
7051,83.0
7132,81.0
7158,26.0
7207,49.0
7285,78.0
7310,25.0
7408,98.0
7462,54.0
7474,12.0
7484,10.0
7507,23.0
7611,104.0
7795,184.0
7967,172.0
8048,81.0
8216,168.0
8327,111.0
8468,141.0
8499,31.0
8688,189.0
8796,108.0
8916,120.0
8934,18.0
9025,91.0
9109,84.0
9134,25.0
9198,64.0
9209,11.0
9304,95.0
9432,128.0
9550,118.0
9659,109.0
9771,112.0
9872,101.0
10068,196.0
10176,108.0
10344,168.0
10502,158.0
10733,231.0
10877,144.0
11095,218.0
11235,140.0
11442,207.0
11563,121.0
11654,91.0
11760,106.0
11967,207.0
12118,151.0
12234,116.0
12349,115.0
12485,136.0
12618,133.0
12795,177.0
12924,129.0
13131,207.0
13292,161.0
13412,120.0
13665,253.0
13854,189.0
14016,162.0
14357,341.0
14518,161.0
14704,186.0
14882,178.0
15082,200.0
15389,307.0
15652,263.0
15807,155.0
16040,233.0
16262,222.0
16511,249.0
16698,187.0
16872,174.0
17179,307.0
17373,194.0
17579,206.0
17748,169.0
17929,181.0
18112,183.0
18242,130.0
18429,187.0
18626,197.0
18907,281.0
19069,162.0
19278,209.0
19517,239.0
19735,218.0
19922,187.0
20080,158.0
20093,13.0
20330,237.0
20531,201.0
20686,155.0
20823,137.0
21084,261.0
21236,152.0
