step,reward
30,30.0
85,55.0
99,14.0
117,18.0
133,16.0
149,16.0
168,19.0
189,21.0
202,13.0
232,30.0
244,12.0
268,24.0
300,32.0
315,15.0
329,14.0
361,32.0
394,33.0
406,12.0
418,12.0
432,14.0
459,27.0
476,17.0
492,16.0
504,12.0
524,20.0
538,14.0
551,13.0
565,14.0
575,10.0
592,17.0
620,28.0
635,15.0
649,14.0
665,16.0
676,11.0
696,20.0
714,18.0
733,19.0
745,12.0
763,18.0
776,13.0
794,18.0
813,19.0
833,20.0
844,11.0
865,21.0
879,14.0
889,10.0
906,17.0
928,22.0
939,11.0
953,14.0
971,18.0
982,11.0
1012,30.0
1023,11.0
1038,15.0
1049,11.0
1068,19.0
1081,13.0
1122,41.0
1137,15.0
1153,16.0
1161,8.0
1174,13.0
1187,13.0
1215,28.0
1233,18.0
1244,11.0
1256,12.0
1267,11.0
1278,11.0
1299,21.0
1308,9.0
1320,12.0
1333,13.0
1352,19.0
1361,9.0
1374,13.0
1387,13.0
1409,22.0
1419,10.0
1436,17.0
1454,18.0
1467,13.0
1493,26.0
1556,63.0
1570,14.0
1589,19.0
1603,14.0
1613,10.0
1630,17.0
1644,14.0
1653,9.0
1670,17.0
1681,11.0
1714,33.0
1727,13.0
1737,10.0
1750,13.0
1766,16.0
1775,9.0
1789,14.0
1803,14.0
1815,12.0
1826,11.0
1836,10.0
1847,11.0
1861,14.0
1874,13.0
1886,12.0
1896,10.0
1907,11.0
1919,12.0
1934,15.0
1949,15.0
1970,21.0
1984,14.0
1995,11.0
2008,13.0
2019,11.0
2028,9.0
2062,34.0
2073,11.0
2101,28.0
2178,77.0
2197,19.0
2216,19.0
2232,16.0
2265,33.0
2304,39.0
2359,55.0
2369,10.0
2385,16.0
2398,13.0
2425,27.0
2454,29.0
2467,13.0
2571,104.0
2593,22.0
2612,19.0
2622,10.0
2637,15.0
2657,20.0
2671,14.0
2698,27.0
2707,9.0
2721,14.0
2733,12.0
2744,11.0
2768,24.0
2782,14.0
2807,25.0
2840,33.0
2849,9.0
2863,14.0
2900,37.0
2916,16.0
2944,28.0
2978,34.0
3012,34.0
3098,86.0
3204,106.0
3337,133.0
3500,163.0
3551,51.0
3638,87.0
3757,119.0
3786,29.0
3896,110.0
4045,149.0
4197,152.0
4392,195.0
4525,133.0
4703,178.0
4857,154.0
5046,189.0
5235,189.0
5390,155.0
5704,314.0
5877,173.0
6200,323.0
6446,246.0
6651,205.0
6874,223.0
7098,224.0
7524,426.0
7817,293.0
8147,330.0
8390,243.0
8605,215.0
8810,205.0
9090,280.0
9274,184.0
9445,171.0
9679,234.0
9873,194.0
10105,232.0
10305,200.0
10521,216.0
10705,184.0
10919,214.0
11136,217.0
11398,262.0
11733,335.0
11999,266.0
12256,257.0
12492,236.0
12936,444.0
13189,253.0
13370,181.0
13566,196.0
13796,230.0
13985,189.0
14331,346.0
14581,250.0
14833,252.0
15115,282.0
15360,245.0
15589,229.0
15919,330.0
16342,423.0
16587,245.0
16772,185.0
16960,188.0
17116,156.0
17323,207.0
17493,170.0
17713,220.0
17913,200.0
18080,167.0
18235,155.0
18371,136.0
18515,144.0
18652,137.0
18796,144.0
18954,158.0
19103,149.0
19285,182.0
19489,204.0
19649,160.0
19823,174.0
19998,175.0
20209,211.0
20495,286.0
20711,216.0
20902,191.0
21031,129.0
21277,246.0
21533,256.0
21708,175.0
22106,398.0
22355,249.0
22771,416.0
23271,500.0
23657,386.0
24081,424.0
24263,182.0
24499,236.0
24700,201.0
24878,178.0
25051,173.0
25415,364.0
25835,420.0
26225,390.0
26725,500.0
26927,202.0
27072,145.0
27572,500.0
27589,17.0
27618,29.0
27642,24.0
27675,33.0
27916,241.0
28220,304.0
28344,124.0
28432,88.0
28500,68.0
28712,212.0
28994,282.0
29219,225.0
29485,266.0
29745,260.0
29970,225.0
30400,430.0
30716,316.0
31043,327.0
31543,500.0
31823,280.0
32323,500.0
32823,500.0
33094,271.0
33594,500.0
34094,500.0
34257,163.0
34388,131.0
34575,187.0
34715,140.0
34846,131.0
35001,155.0
35136,135.0
35293,157.0
35442,149.0
35646,204.0
35807,161.0
35967,160.0
36111,144.0
36257,146.0
36413,156.0
36551,138.0
36689,138.0
36701,12.0
36859,158.0
36967,108.0
37016,49.0
37142,126.0
37251,109.0
37368,117.0
37493,125.0
37607,114.0
37718,111.0
37824,106.0
37952,128.0
38046,94.0
38135,89.0
38268,133.0
38396,128.0
38512,116.0
38605,93.0
38713,108.0
38828,115.0
38928,100.0
39045,117.0
39190,145.0
39326,136.0
39488,162.0
39643,155.0
39818,175.0
39974,156.0
40144,170.0
40303,159.0
40458,155.0
40615,157.0
40835,220.0
40998,163.0
41220,222.0
41434,214.0
41669,235.0
42091,422.0
42479,388.0
42619,140.0
42911,292.0
43411,500.0
43542,131.0
43667,125.0
43792,125.0
43898,106.0
44022,124.0
44144,122.0
44284,140.0
44423,139.0
44572,149.0
44695,123.0
44828,133.0
44975,147.0
45016,41.0
45166,150.0
45304,138.0
45461,157.0
45608,147.0
45748,140.0
45892,144.0
46034,142.0
46171,137.0
46306,135.0
46455,149.0
46591,136.0
46737,146.0
46867,130.0
47012,145.0
47159,147.0
47294,135.0
47437,143.0
47584,147.0
47733,149.0
47871,138.0
48022,151.0
48169,147.0
48322,153.0
48465,143.0
48602,137.0
48748,146.0
48903,155.0
49038,135.0
49181,143.0
49326,145.0
49469,143.0
49620,151.0
49778,158.0
49923,145.0
50055,132.0
50218,163.0
50395,177.0
50550,155.0
50705,155.0
50868,163.0
51027,159.0
51190,163.0
51403,213.0
51903,500.0
52130,227.0
52294,164.0
52776,482.0
53276,500.0
53447,171.0
53717,270.0
54144,427.0
54313,169.0
54511,198.0
54652,141.0
54988,336.0
55200,212.0
55589,389.0
55762,173.0
55898,136.0
56012,114.0
56152,140.0
56283,131.0
56452,169.0
56602,150.0
56733,131.0
56934,201.0
57062,128.0
57183,121.0
57311,128.0
57424,113.0
57590,166.0
57710,120.0
