step,reward
13,13.0
50,37.0
74,24.0
84,10.0
102,18.0
115,13.0
129,14.0
144,15.0
170,26.0
190,20.0
199,9.0
209,10.0
242,33.0
252,10.0
279,27.0
317,38.0
330,13.0
345,15.0
359,14.0
371,12.0
393,22.0
410,17.0
426,16.0
437,11.0
458,21.0
475,17.0
496,21.0
508,12.0
525,17.0
537,12.0
556,19.0
577,21.0
599,22.0
612,13.0
623,11.0
638,15.0
653,15.0
687,34.0
698,11.0
710,12.0
720,10.0
760,40.0
768,8.0
783,15.0
803,20.0
817,14.0
840,23.0
859,19.0
871,12.0
883,12.0
919,36.0
940,21.0
949,9.0
959,10.0
972,13.0
990,18.0
1023,33.0
1045,22.0
1056,11.0
1090,34.0
1106,16.0
1120,14.0
1132,12.0
1158,26.0
1170,12.0
1188,18.0
1202,14.0
1220,18.0
1232,12.0
1241,9.0
1252,11.0
1268,16.0
1279,11.0
1347,68.0
1358,11.0
1383,25.0
1395,12.0
1425,30.0
1435,10.0
1449,14.0
1457,8.0
1467,10.0
1477,10.0
1500,23.0
1512,12.0
1526,14.0
1539,13.0
1547,8.0
1557,10.0
1574,17.0
1585,11.0
1597,12.0
1608,11.0
1619,11.0
1633,14.0
1651,18.0
1664,13.0
1685,21.0
1702,17.0
1717,15.0
1727,10.0
1738,11.0
1751,13.0
1763,12.0
1773,10.0
1785,12.0
1795,10.0
1809,14.0
1821,12.0
1832,11.0
1841,9.0
1858,17.0
1876,18.0
1887,11.0
1897,10.0
1911,14.0
1921,10.0
1935,14.0
1946,11.0
1958,12.0
1969,11.0
1979,10.0
1988,9.0
1998,10.0
2012,14.0
2039,27.0
2051,12.0
2068,17.0
2081,13.0
2092,11.0
2120,28.0
2144,24.0
2164,20.0
2176,12.0
2186,10.0
2196,10.0
2207,11.0
2225,18.0
2244,19.0
2252,8.0
2267,15.0
2298,31.0
2318,20.0
2360,42.0
2369,9.0
2379,10.0
2424,45.0
2461,37.0
2485,24.0
2497,12.0
2541,44.0
2551,10.0
2568,17.0
2578,10.0
2590,12.0
2603,13.0
2637,34.0
2649,12.0
2661,12.0
2674,13.0
2686,12.0
2695,9.0
2719,24.0
2753,34.0
2769,16.0
2780,11.0
2806,26.0
2823,17.0
2832,9.0
2859,27.0
2878,19.0
2918,40.0
2957,39.0
2971,14.0
2990,19.0
3018,28.0
3046,28.0
3063,17.0
3125,62.0
3208,83.0
3221,13.0
3277,56.0
3294,17.0
3341,47.0
3401,60.0
3466,65.0
3524,58.0
3626,102.0
3702,76.0
3760,58.0
3795,35.0
3838,43.0
3933,95.0
4006,73.0
4105,99.0
4197,92.0
4341,144.0
4452,111.0
4579,127.0
4726,147.0
4877,151.0
5029,152.0
5211,182.0
5426,215.0
5623,197.0
5851,228.0
6000,149.0
6131,131.0
6337,206.0
6489,152.0
6651,162.0
6801,150.0
6966,165.0
7118,152.0
7322,204.0
7530,208.0
7726,196.0
7850,124.0
8035,185.0
8199,164.0
8367,168.0
8555,188.0
8737,182.0
8892,155.0
9081,189.0
9249,168.0
9468,219.0
9648,180.0
9803,155.0
9947,144.0
10107,160.0
10265,158.0
10515,250.0
10757,242.0
10927,170.0
11081,154.0
11228,147.0
11385,157.0
11528,143.0
11685,157.0
11837,152.0
11977,140.0
12124,147.0
12298,174.0
12462,164.0
12620,158.0
12764,144.0
12912,148.0
13047,135.0
13204,157.0
13348,144.0
13486,138.0
13640,154.0
13794,154.0
13949,155.0
14089,140.0
14226,137.0
14366,140.0
14539,173.0
14693,154.0
14850,157.0
15014,164.0
15146,132.0
15301,155.0
15466,165.0
15599,133.0
15747,148.0
15889,142.0
16051,162.0
16240,189.0
16402,162.0
16561,159.0
16724,163.0
16915,191.0
17072,157.0
17343,271.0
17539,196.0
17736,197.0
17908,172.0
18200,292.0
18544,344.0
18580,36.0
18606,26.0
18638,32.0
18650,12.0
18662,12.0
18684,22.0
18712,28.0
18745,33.0
18755,10.0
18764,9.0
18773,9.0
18790,17.0
18799,9.0
18809,10.0
18818,9.0
18826,8.0
18836,10.0
18845,9.0
18870,25.0
18879,9.0
18889,10.0
18912,23.0
18927,15.0
18935,8.0
18945,10.0
18954,9.0
18964,10.0
18975,11.0
18984,9.0
18994,10.0
19002,8.0
19012,10.0
19036,24.0
19045,9.0
19055,10.0
19064,9.0
19074,10.0
19083,9.0
19092,9.0
19102,10.0
19112,10.0
19122,10.0
19130,8.0
19140,10.0
19149,9.0
19165,16.0
19177,12.0
19187,10.0
19197,10.0
19241,44.0
19358,117.0
19374,16.0
19418,44.0
19457,39.0
19511,54.0
19526,15.0
19560,34.0
19606,46.0
19649,43.0
19662,13.0
19709,47.0
19727,18.0
19765,38.0
19791,26.0
19843,52.0
19854,11.0
19887,33.0
19933,46.0
19949,16.0
19961,12.0
20004,43.0
20071,67.0
20127,56.0
20170,43.0
20230,60.0
20303,73.0
20336,33.0
20402,66.0
20473,71.0
20552,79.0
20627,75.0
20736,109.0
20802,66.0
20847,45.0
20904,57.0
20957,53.0
21054,97.0
21138,84.0
21334,196.0
21533,199.0
21671,138.0
21918,247.0
21987,69.0
22097,110.0
22264,167.0
22404,140.0
22653,249.0
22801,148.0
22934,133.0
23172,238.0
23330,158.0
23558,228.0
23813,255.0
24002,189.0
24205,203.0
24416,211.0
24612,196.0
24782,170.0
24945,163.0
25129,184.0
25316,187.0
25502,186.0
25749,247.0
25924,175.0
26079,155.0
26263,184.0
26447,184.0
26629,182.0
26844,215.0
27007,163.0
27185,178.0
27410,225.0
27754,344.0
27844,90.0
28036,192.0
28114,78.0
28431,317.0
28594,163.0
28807,213.0
28984,177.0
29250,266.0
29405,155.0
29608,203.0
29866,258.0
30088,222.0
30258,170.0
30487,229.0
30665,178.0
30861,196.0
31087,226.0
31266,179.0
31526,260.0
31687,161.0
31861,174.0
32056,195.0
32202,146.0
32338,136.0
32536,198.0
32699,163.0
32839,140.0
33006,167.0
33148,142.0
33291,143.0
33466,175.0
33600,134.0
33738,138.0
33883,145.0
34019,136.0
34170,151.0
34303,133.0
34441,138.0
34569,128.0
34704,135.0
34848,144.0
34995,147.0
35136,141.0
35288,152.0
35445,157.0
35592,147.0
35741,149.0
35895,154.0
36041,146.0
36171,130.0
36298,127.0
36436,138.0
36579,143.0
36711,132.0
36847,136.0
36981,134.0
37113,132.0
37245,132.0
37384,139.0
37514,130.0
37642,128.0
37776,134.0
37910,134.0
38060,150.0
38201,141.0
38330,129.0
38459,129.0
38586,127.0
38716,130.0
38859,143.0
38996,137.0
39124,128.0
39265,141.0
39401,136.0
39548,147.0
39690,142.0
39837,147.0
39973,136.0
40102,129.0
40242,140.0
40387,145.0
40518,131.0
40665,147.0
40805,140.0
40941,136.0
41081,140.0
41211,130.0
41360,149.0
41443,83.0
41563,120.0
41692,129.0
41808,116.0
41945,137.0
42084,139.0
42219,135.0
42349,130.0
42430,81.0
42569,139.0
42697,128.0
42810,113.0
42968,158.0
43059,91.0
43189,130.0
43322,133.0
43474,152.0
43607,133.0
43764,157.0
43897,133.0
44038,141.0
44179,141.0
44332,153.0
44468,136.0
44606,138.0
44734,128.0
44883,149.0
45024,141.0
45039,15.0
45178,139.0
45316,138.0
45456,140.0
45592,136.0
45725,133.0
45860,135.0
46006,146.0
46133,127.0
46254,121.0
46376,122.0
46499,123.0
46617,118.0
46744,127.0
46869,125.0
46990,121.0
47102,112.0
47215,113.0
47331,116.0
47445,114.0
47556,111.0
47668,112.0
47784,116.0
47906,122.0
48025,119.0
48167,142.0
48316,149.0
48461,145.0
48611,150.0
48765,154.0
48905,140.0
49065,160.0
49249,184.0
49408,159.0
49567,159.0
49717,150.0
49922,205.0
50097,175.0
50242,145.0
50402,160.0
50551,149.0
50705,154.0
50845,140.0
50984,139.0
51116,132.0
51262,146.0
51385,123.0
51512,127.0
51652,140.0
51775,123.0
51904,129.0
52040,136.0
52180,140.0
52318,138.0
52466,148.0
52605,139.0
52740,135.0
52873,133.0
53008,135.0
53185,177.0
53376,191.0
53543,167.0
53726,183.0
53915,189.0
54102,187.0
54251,149.0
54397,146.0
54562,165.0
54705,143.0
54844,139.0
55005,161.0
55067,62.0
55227,160.0
55306,79.0
55463,157.0
55490,27.0
55511,21.0
55649,138.0
55810,161.0
55960,150.0
56088,128.0
56212,124.0
56353,141.0
56494,141.0
56621,127.0
56747,126.0
56880,133.0
57010,130.0
57124,114.0
57248,124.0
57360,112.0
57486,126.0
57605,119.0
57724,119.0
57842,118.0
57959,117.0
58085,126.0
58218,133.0
58345,127.0
58470,125.0
58599,129.0
58743,144.0
58879,136.0
59005,126.0
59134,129.0
59145,11.0
59271,126.0
59403,132.0
59538,135.0
59670,132.0
59808,138.0
59934,126.0
60058,124.0
60193,135.0
60329,136.0
60467,138.0
60610,143.0
60734,124.0
60869,135.0
61002,133.0
61159,157.0
61326,167.0
61487,161.0
61641,154.0
61783,142.0
61940,157.0
62099,159.0
62266,167.0
62430,164.0
62584,154.0
62756,172.0
62916,160.0
63083,167.0
63264,181.0
63444,180.0
63604,160.0
63778,174.0
63939,161.0
64132,193.0
64311,179.0
64508,197.0
64683,175.0
64840,157.0
65034,194.0
65214,180.0
65407,193.0
65590,183.0
65765,175.0
65942,177.0
66118,176.0
66296,178.0
66477,181.0
66664,187.0
66825,161.0
67002,177.0
67144,142.0
67303,159.0
67470,167.0
67627,157.0
67764,137.0
67908,144.0
68065,157.0
68244,179.0
68403,159.0
68538,135.0
68687,149.0
