step,reward
21,21.0
49,28.0
61,12.0
77,16.0
89,12.0
130,41.0
182,52.0
216,34.0
234,18.0
256,22.0
286,30.0
312,26.0
327,15.0
336,9.0
351,15.0
365,14.0
376,11.0
388,12.0
403,15.0
419,16.0
435,16.0
445,10.0
456,11.0
481,25.0
490,9.0
505,15.0
517,12.0
533,16.0
558,25.0
574,16.0
587,13.0
612,25.0
627,15.0
651,24.0
662,11.0
672,10.0
690,18.0
701,11.0
714,13.0
730,16.0
745,15.0
758,13.0
772,14.0
791,19.0
807,16.0
817,10.0
827,10.0
836,9.0
846,10.0
856,10.0
868,12.0
887,19.0
899,12.0
912,13.0
929,17.0
942,13.0
954,12.0
965,11.0
976,11.0
985,9.0
997,12.0
1007,10.0
1034,27.0
1057,23.0
1077,20.0
1091,14.0
1101,10.0
1118,17.0
1132,14.0
1143,11.0
1154,11.0
1168,14.0
1181,13.0
1193,12.0
1210,17.0
1220,10.0
1229,9.0
1241,12.0
1255,14.0
1264,9.0
1280,16.0
1292,12.0
1304,12.0
1315,11.0
1328,13.0
1342,14.0
1352,10.0
1363,11.0
1375,12.0
1390,15.0
1406,16.0
1431,25.0
1448,17.0
1460,12.0
1472,12.0
1483,11.0
1495,12.0
1505,10.0
1520,15.0
1539,19.0
1564,25.0
1576,12.0
1588,12.0
1602,14.0
1613,11.0
1623,10.0
1633,10.0
1642,9.0
1651,9.0
1665,14.0
1679,14.0
1689,10.0
1704,15.0
1715,11.0
1728,13.0
1739,11.0
1749,10.0
1761,12.0
1811,50.0
1822,11.0
1833,11.0
1845,12.0
1860,15.0
1873,13.0
1881,8.0
1892,11.0
1907,15.0
1915,8.0
1926,11.0
1935,9.0
1944,9.0
1959,15.0
1970,11.0
1981,11.0
1991,10.0
2005,14.0
2019,14.0
2028,9.0
2038,10.0
2048,10.0
2063,15.0
2073,10.0
2091,18.0
2107,16.0
2161,54.0
2172,11.0
2183,11.0
2220,37.0
2261,41.0
2275,14.0
2286,11.0
2297,11.0
2307,10.0
2319,12.0
2349,30.0
2375,26.0
2434,59.0
2448,14.0
2459,11.0
2469,10.0
2478,9.0
2518,40.0
2542,24.0
2589,47.0
2650,61.0
2692,42.0
2718,26.0
2729,11.0
2757,28.0
2770,13.0
2782,12.0
2819,37.0
2831,12.0
2840,9.0
2850,10.0
2860,10.0
2873,13.0
2887,14.0
2939,52.0
2954,15.0
2985,31.0
2996,11.0
3008,12.0
3030,22.0
3043,13.0
3108,65.0
3187,79.0
3260,73.0
3313,53.0
3369,56.0
3394,25.0
3406,12.0
3496,90.0
3537,41.0
3611,74.0
3637,26.0
3706,69.0
3783,77.0
3801,18.0
3873,72.0
3932,59.0
3998,66.0
4067,69.0
4111,44.0
4173,62.0
4259,86.0
4392,133.0
4467,75.0
4508,41.0
4533,25.0
4659,126.0
4718,59.0
4775,57.0
4857,82.0
4935,78.0
5011,76.0
5100,89.0
5228,128.0
5368,140.0
5531,163.0
5693,162.0
5853,160.0
5979,126.0
6104,125.0
6436,332.0
6694,258.0
6895,201.0
7100,205.0
7493,393.0
7755,262.0
7957,202.0
8309,352.0
8664,355.0
8881,217.0
9140,259.0
9388,248.0
9621,233.0
9932,311.0
10196,264.0
10530,334.0
10747,217.0
11020,273.0
11262,242.0
11527,265.0
11761,234.0
11969,208.0
12206,237.0
12423,217.0
12642,219.0
12844,202.0
13038,194.0
13314,276.0
13493,179.0
13743,250.0
14065,322.0
14256,191.0
14438,182.0
14615,177.0
14803,188.0
14999,196.0
15207,208.0
15398,191.0
15600,202.0
15762,162.0
15925,163.0
16100,175.0
16267,167.0
16438,171.0
16620,182.0
16859,239.0
17028,169.0
17181,153.0
17312,131.0
17429,117.0
17561,132.0
17680,119.0
17788,108.0
17906,118.0
18015,109.0
18140,125.0
18256,116.0
18393,137.0
18530,137.0
18679,149.0
18813,134.0
18939,126.0
19063,124.0
19187,124.0
19304,117.0
19425,121.0
19544,119.0
19665,121.0
19785,120.0
19900,115.0
20017,117.0
20160,143.0
20318,158.0
20460,142.0
20607,147.0
20740,133.0
20882,142.0
21022,140.0
21152,130.0
21289,137.0
21422,133.0
21561,139.0
21687,126.0
21821,134.0
21971,150.0
22127,156.0
22287,160.0
22418,131.0
22567,149.0
22686,119.0
22849,163.0
23013,164.0
23144,131.0
23278,134.0
23406,128.0
23523,117.0
23666,143.0
23813,147.0
23948,135.0
24081,133.0
24114,33.0
24160,46.0
24200,40.0
24310,110.0
24426,116.0
24539,113.0
24664,125.0
24766,102.0
24868,102.0
24999,131.0
25011,12.0
25120,109.0
25241,121.0
25363,122.0
25477,114.0
25601,124.0
25736,135.0
25996,260.0
26058,62.0
26241,183.0
26370,129.0
26438,68.0
26581,143.0
26914,333.0
27004,90.0
27048,44.0
27201,153.0
27346,145.0
27474,128.0
27598,124.0
27717,119.0
27838,121.0
27957,119.0
28088,131.0
28229,141.0
28356,127.0
28503,147.0
28649,146.0
28796,147.0
28937,141.0
29087,150.0
29236,149.0
29375,139.0
29503,128.0
29646,143.0
29777,131.0
29935,158.0
30069,134.0
30208,139.0
30335,127.0
30476,141.0
30610,134.0
30749,139.0
30883,134.0
31030,147.0
31197,167.0
31369,172.0
31531,162.0
31697,166.0
31854,157.0
32012,158.0
32147,135.0
32281,134.0
32420,139.0
32576,156.0
32709,133.0
32845,136.0
